item,unit,grams_per_unit,portion_label,display_contains,display_excludes,evidence,reason
flour tortilla,count,49,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_tortilla_count_001),8-inch flour tortilla ~49g.
corn tortilla,count,26,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_corn_tortilla_001),6-inch corn tortilla ~26g.
pita bread,count,60,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_pita_bread_001),Standard pita bread ~60g.
english muffin,count,57,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_english_muffin_001),Standard English muffin ~57g.
bagel,count,89,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_bagel_count_001),Standard bagel ~89g (SR28).
chicken thigh,count,130,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_chicken_thigh_001),Boneless skinless chicken thigh ~130g.
pork chop,count,150,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_pork_chop_count_001),Bone-in pork chop ~150g.
sausage link,count,68,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_sausage_link_001),Standard sausage link ~68g.
*,envelope,28,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_envelope_001),Standard dry mix envelope ~28g (1 oz).
*,packet,28,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h3_packet_001),Standard seasoning packet ~28g (1 oz).
wine,cup,236,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_wine_cup_001),Wine by the cup ~236ml ~236g (density ~1.0).
broth,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_broth_cup_001),Broth/stock per cup ~240g.
chicken stock,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_stock_cup_001),Chicken stock per cup ~240g.
vegetable stock,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_veg_stock_cup_001),Vegetable stock per cup ~240g.
beef broth,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_beef_broth_cup_001),Beef broth per cup ~240g.
coconut milk,cup,226,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_coconut_milk_cup_001),Coconut milk per cup ~226g.
heavy cream,cup,238,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_heavy_cream_cup_001),Heavy cream per cup ~238g.
yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_yogurt_cup_001),Yogurt per cup ~245g.
peanut butter,cup,258,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_peanut_butter_cup_001),Peanut butter per cup ~258g (dense).
rice,cup,185,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_rice_cup_dry_001),Dry rice per cup ~185g.
oats,cup,80,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_oats_cup_001),USDA FDC 2344717: 1 cup dry rolled oats = 80g (corrected from cooked-oatmeal value).
breadcrumbs,cup,108,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (h7_breadcrumbs_cup_001),Dry breadcrumbs per cup ~108g.
white wine vinegar,cup,239,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_white_wine_vinegar_cup_20260413),White wine vinegar cup conversion using 1.01 g/ml density.
fresh thyme,tbsp,2.4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_fresh_thyme_tbsp_20260413),Chopped fresh thyme tablespoon estimate.
fresh thyme,tsp,0.8,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_fresh_thyme_tsp_20260413),Chopped fresh thyme teaspoon estimate.
fresh thyme,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_fresh_thyme_sprig_20260413),Fresh thyme sprig estimate.
milk powder,cup,68,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_milk_powder_cup_20260413),Instant nonfat dry milk powder cup estimate.
milk powder,tbsp,4.25,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_milk_powder_tbsp_20260413),Instant nonfat dry milk powder tablespoon estimate.
orange juice concentrate,cup,288,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_orange_juice_concentrate_cup_20260413),Frozen orange juice concentrate cup conversion using 1.20 g/ml density.
orange juice concentrate,tbsp,18,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_orange_juice_concentrate_tbsp_20260413),Frozen orange juice concentrate tablespoon conversion.
sesame seeds,tbsp,9,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_sesame_seeds_tbsp_20260413),Sesame seeds tablespoon estimate.
peach,cup,154,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_peach_cup_20260413),Sliced peaches cup estimate.
green bean,cup,100,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_green_bean_cup_20260413),Cut fresh green beans cup estimate.
crab,cup,135,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_crab_cup_20260413),Crabmeat cup estimate.
crabmeat,cup,135,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_frontier_crabmeat_cup_20260413),Crabmeat cup estimate.
banana,count,118,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (banana_count),Medium banana ~118g.
orange,count,131,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (orange_count),Medium orange ~131g.
lemon,count,58,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (lemon_count),Medium lemon ~58g.
lime,count,44,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (lime_count),Medium lime ~44g.
peach,count,150,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (peach_count),Medium peach ~150g.
pear,count,178,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (pear_count),Medium pear ~178g.
mango,count,207,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (mango_count),Medium mango ~207g flesh.
potato,count,213,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (potato_count),Medium potato ~213g.
sweet potato,count,130,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (sweet_potato_count),Medium sweet potato ~130g.
zucchini,count,196,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (zucchini_count),Medium zucchini ~196g.
avocado,large,201,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_avocado_large_20260413),SR28 avocado NS as to type is 201g edible portion.
cantaloupe,cup,160,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_cantaloupe_cup_20260413),SR28 cantaloupe cup cubes is 160g.
cantaloupe,medium,552,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_cantaloupe_medium_20260413),SR28 medium cantaloupe melon is 552g edible portion.
strawberry,cup,152,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_strawberry_cup_20260413),SR28 strawberry cup halves is 152g.
honeydew,medium,1000,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_honeydew_medium_20260413),SR28 5-1/4 inch honeydew melon is 1000g edible portion.
boston lettuce leaf,count,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_boston_lettuce_leaf_count_20260413),SR28 generic butterhead lettuce leaf is 5g.
sesame oil,dash,0.56,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_sesame_oil_dash_20260413),Dash of sesame oil approximated as 1/8 tsp from SR28 4.5g per tsp.
chinese wine,tsp,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_chinese_wine_tsp_20260413),Chinese cooking wine teaspoon uses 5g volume estimate.
greek style plain yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_greek_style_plain_yogurt_cup_20260413),Greek-style plain yogurt cup uses reviewed yogurt cup conversion.
lowfat greek yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lowfat_greek_yogurt_cup_20260413),Lowfat Greek yogurt surface concept cup uses reviewed yogurt cup conversion.
nonfat greek yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_nonfat_greek_yogurt_cup_20260413),Nonfat Greek yogurt surface concept cup uses reviewed yogurt cup conversion.
shallot,small,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_shallot_small_20260413),One shallot is about 30g; size token is a count qualifier here.
shallot,medium,30,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_shallot_medium_20260413),One medium shallot is about 30g.
green onion,medium,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_green_onion_medium_20260413),One medium green onion/scallion is about 15g.
pita bread round,count,60,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_pita_bread_round_count_20260413),SR28 large pita is 60g; pita bread round is one pita round.
grape tomato,count,17,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_grape_tomato_count_20260413),SR28 raw tomato cherry portion is 17g; grape tomato uses same small-tomato count estimate.
pepperoncini pepper,count,10,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_pepperoncini_count_20260413),One drained pickled pepperoncini estimated at 10g from SR28 pickled hot pepper cup weight.
peanut butter,tbsp,18,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_peanut_butter_reduced_tbsp_20260413),SR28 reduced-fat peanut butter portion is 2 tbsp = 36g.
dried thyme,tsp,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_dried_thyme_tsp_20260413),SR28 dried thyme leaves teaspoon is 1g; ground thyme should use a ground concept.
dried thyme,tbsp,2.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_dried_thyme_tbsp_20260413),SR28 dried thyme leaves tablespoon is 2.7g; ground thyme should use a ground concept.
dried oregano,tsp,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_dried_oregano_tsp_20260413),SR28 dried oregano leaves teaspoon is 1g; ground oregano should use a ground concept.
ground cinnamon,pinch,0.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_ground_cinnamon_pinch_20260413),Reviewed pinch-size cinnamon amount.
red onion,small,70,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_red_onion_small_20260413),Small red onion estimate; medium red onion remains 110g.
jalapeno,tbsp,5.625,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_jalapeno_tbsp_20260413),Derived from SR28 jalapeno cup sliced 90g / 16 tbsp.
hot sauce,tsp,4.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_hot_sauce_tsp_20260413),SR28 Tabasco-style pepper sauce teaspoon is 4.7g.
hot sauce,tbsp,14.1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_hot_sauce_tbsp_20260413),Derived from SR28 Tabasco-style pepper sauce teaspoon.
pitted kalamata olive,cup,134.4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_pitted_kalamata_olive_cup_20260413),Derived from SR28 pickled/ripe olive tablespoon weight 8.4g x 16.
mango chutney,cup,320,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_mango_chutney_cup_20260413),Mango chutney cup estimate using 20g tablespoon preserve/chutney density.
mango chutney,tbsp,20,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_mango_chutney_tbsp_20260413),Mango chutney tablespoon estimate.
mixed salad green,cup,35,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_mixed_salad_green_cup_20260413),Mixed salad greens cup estimate from loose leafy greens.
raisins,cup,145,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_raisins_cup_20260413),SR28 raisins cup not packed is 145g.
jarred pepperoncini peppers (hot peppers,count,10,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_jarred_pepperoncini_count_20260413),One drained pickled pepperoncini estimated at 10g from SR28 pickled hot pepper cup weight.
coarse ground black pepper,tsp,2.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_fresh_coarse_black_pepper_tsp_20260413),Ground black pepper teaspoon conversion.
*,dash,0.4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_generic_dash_20260413),Generic culinary dash defaults to the SR28 table-salt dash weight; specific concepts may override.
*,pinch,0.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_generic_pinch_20260413),Generic culinary pinch defaults to 0.3g for trace dry seasonings; specific concepts may override.
watermelon,cup,152,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_watermelon_cup_20260413),SR28 watermelon diced cup is 152g; cut-up watermelon uses diced cup measure.
snow peas,cup,63,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_snow_peas_cup_20260413),SR28 whole edible-podded peas cup is 63g; cut-in-half snow peas use whole pod measure.
iceberg lettuce,cup,72,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_iceberg_lettuce_cup_20260413),SR28 iceberg shredded cup is 72g; julienned strips use shredded/strip measure.
brandy,tbsp,14.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_brandy_tbsp_20260413),SR28 80-proof distilled alcohol fl oz is 27.8g; tablespoon uses half fl oz.
brandy,cup,235.2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_brandy_cup_20260413),Derived from reviewed brandy tablespoon conversion.
basil,tsp,0.7,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_basil_leaf_tsp_20260413),SR28 dried basil has separate leaf and ground teaspoon weights; unqualified recipe teaspoon basil defaults to leaf basil.
basil,tbsp,2.1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_basil_leaf_tbsp_20260413),SR28 dried basil leaf tablespoon is 2.1g; ground basil should use a ground concept.
black pepper,tbsp,6.9,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_black_pepper_ground_tbsp_20260413),SR28 black pepper ground tablespoon is 6.9g.
active dry yeast,tsp,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_active_dry_yeast_tsp_20260413),SR28 active dry yeast teaspoon is 4g.
active dry yeast,tbsp,12,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_active_dry_yeast_tbsp_20260413),SR28 active dry yeast tablespoon is 12g.
active dry yeast,packet,7.2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_active_dry_yeast_packet_20260413),SR28 active dry yeast packet is 7.2g.
black-eyed pea,cup,171,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_black_eyed_pea_cup_20260413),SR28 cooked black-eyed cowpeas cup is 171g.
lima bean,cup,241,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lima_bean_cup_20260413),SR28 canned lima beans cup is 241g.
kiwi,count,69,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_kiwi_count_20260413),SR28 green kiwifruit one fruit is 69g.
nectarine,count,142,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_nectarine_count_20260413),SR28 medium nectarine is 142g; bare nectarine count defaults to medium.
pickles,count,25,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_pickle_gherkin_count_20260413),SR28 cucumber sweet gherkin is 25g; bare gherkin count uses this measure.
duck breast,count,190,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_duck_breast_count_20260413),SR28 boneless skinless duck breast portion is 0.5 breast = 95g; one breast = 190g.
ham hock,count,117,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_ham_hock_count_20260413),SR28 pork hocks portion is 3 oz/117g; one recipe ham hock defaults to that edible portion proxy.
lettuce,head,513,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_chicory_lettuce_head_20260413),SR28 endive/chicory head is 513g; chicory lettuce head uses this reviewed proxy.
muscovado sugar,tbsp,12.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_muscovado_sugar_tbsp_20260413),Brown/muscovado sugar tablespoon estimate from packed brown sugar cup density.
sweet soy sauce,tbsp,18,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_sweet_soy_sauce_tbsp_20260413),Sweet soy sauce tablespoon uses thick soy-sauce estimate.
ground cloves,count,0.15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_ground_cloves_count_20260413),One whole clove spice weighs about 0.15g; bare count cloves uses whole-clove quantity with ground-clove nutrition.
lemon peel,piece,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lemon_rind_piece_20260413),Small pared lemon rind piece estimate from SR28 lemon peel teaspoon/tablespoon weights.
lemon rind,piece,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lemon_rind_concept_piece_20260413),Small pared lemon rind piece estimate from SR28 lemon peel teaspoon/tablespoon weights.
eggplant,small,458,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_eggplant_small_20260413),SR28 peeled eggplant yield is 458g; small eggplant uses the lower whole-eggplant portion.
fennel,small,234,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_fennel_small_20260413),SR28 fennel bulb is 234g; small fennel bulb uses one bulb measure.
green apple,cup,125,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_green_apple_cup_20260413),SR28 apple cup quartered/chopped is 125g; tart green apple cup uses generic apple cup measure.
jicama,cup,120,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_jicama_cup_20260413),Jicama cup strips/slices estimate used for pared julienned jicama.
raspberry,pint,246,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_raspberry_pint_20260413),One pint fresh raspberries is about 246g.
plain fat-free yogurt,cup,245,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_plain_fat_free_yogurt_cup_20260413),USDA yogurt cup convention is 245g.
lettuce,cup,36,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lettuce_cup_20260413),SR28 green leaf lettuce shredded cup is 36g.
mushroom,large,23,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_mushroom_large_20260413),SR28 raw white mushroom large is 23g.
snap pea,count,3.4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_snap_pea_count_20260413),SR28 edible-podded peas are 34g per 10 pods.
radishe,large,9,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_radishe_large_20260413),SR28 raw radish large is 9g.
roasted red peppers,count,119,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_roasted_red_pepper_count_20260413),SR28 medium sweet red pepper is 119g; half pepper applies quantity 0.5.
anchovy fillet,count,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_anchovy_fillet_count_20260413),One anchovy fillet is about 4g.
brown mustard,tsp,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_brown_mustard_tsp_20260413),SR28 prepared mustard teaspoon/packet is 5g.
red cabbage,cup,70,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_red_cabbage_cup_20260413),SR28 chopped cabbage cup is about 70g; red cabbage cup uses same raw cabbage measure.
enoki mushroom,cup,65,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_enoki_mushroom_cup_20260413),Raw enoki mushroom cup estimate from loose mushroom cup weights.
shoyu,tbsp,18,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_shoyu_tbsp_20260413),Shoyu/soy sauce tablespoon uses standard soy sauce weight.
bok choy,cup,70,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_bok_choy_cup_20260413),SR28 raw pak-choi shredded cup is 70g.
garlic chives,tsp,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_garlic_chives_tsp_20260413),Garlic chives use SR28 chives teaspoon chopped weight.
garlic chives,tbsp,3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_garlic_chives_tbsp_20260413),Garlic chives use SR28 chives tablespoon chopped weight.
crystallized ginger,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_crystallized_ginger_tbsp_20260413),Crystallized ginger tablespoon estimate.
pineapple chunk,cup,165,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_pineapple_chunk_fresh_cup_20260413),SR28 raw pineapple chunks cup is 165g.
vegetable broth,fl oz,27.625,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_vegetable_broth_fl_oz_20260413),SR28 vegetable broth cup is 221g; one fluid ounce is cup/8.
vegetable broth,cup,221,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_vegetable_broth_cup_20260413),SR28 vegetable broth cup is 221g.
vegetable broth,tbsp,13.8125,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_vegetable_broth_tbsp_20260413),Derived from SR28 vegetable broth cup weight.
tomato puree,tbsp,15.625,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_tomato_puree_tbsp_20260413),SR28 tomato puree cup is 250g; tablespoon is cup/16.
tomato puree,cup,250,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_tomato_puree_cup_20260413),SR28 tomato puree cup is 250g.
ketchup,tbsp,17,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_ketchup_tbsp_20260413),SR28 catsup tablespoon is 17g.
ketchup,cup,240,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_ketchup_cup_20260413),SR28 catsup cup is 240g.
grape tomato,cup,149,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_grape_tomato_cup_20260413),SR28 raw tomato cherry cup is 149g; grape tomato whole cup uses cherry tomato measure.
macadamia nut,cup,132,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_macadamia_cup_20260413),SR28 dry-roasted macadamia cup whole/halves is 132g.
macadamia nut,tbsp,8.25,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_macadamia_tbsp_20260413),Derived from SR28 macadamia cup weight.
maraschino cherry,cup,165,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_maraschino_cherry_cup_20260413),Maraschino cherry cup estimate from drained cherries; SR28 count remains 5g per cherry.
maraschino cherry,count,5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_maraschino_cherry_count_20260413),SR28 maraschino cherry count is 5g.
yellow cake mix,count,524,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_yellow_cake_mix_count_20260413),SR28 yellow dry cake mix package is 18.5 oz/524g; bare cake mix count means one package.
pecan,tbsp,6.8125,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_pecan_tbsp_20260413),Derived from SR28 chopped pecan cup 109g.
gorgonzola,tbsp,8.4375,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_gorgonzola_tbsp_20260413),SR28 blue cheese crumbled cup is 135g; tablespoon is cup/16.
seasoning,tbsp,12,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_seasoning_tbsp_20260413),SR28 dry seasoning mix is 1g per 1/4 tsp; tablespoon is 12g.
seasoning,tsp,4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_seasoning_tsp_20260413),SR28 dry seasoning mix is 1g per 1/4 tsp; teaspoon is 4g.
green olive,cup,134,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_green_olive_cup_20260413),Green olive cup estimate from reviewed olive tablespoon/cup measures.
crouton,cup,40,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_crouton_cup_20260413),SR28 seasoned crouton cup is 40g.
lime zest,count,2,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lime_zest_count_20260413),One lime rind/zest yield estimate is 2g.
lime juice,count,44,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_lime_juice_count_20260413),SR28 raw lime yields 44g juice.
peanut oil,tbsp,13.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_peanut_oil_tbsp_20260413),SR28 peanut oil tablespoon is 13.5g.
peanut oil,tsp,4.5,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_peanut_oil_tsp_20260413),SR28 peanut oil teaspoon is 4.5g.
calvado,tbsp,13.9,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_calvado_tbsp_20260413),SR28 80-proof distilled alcohol fluid ounce is 27.8g; tablespoon is half fluid ounce.
chervil,sprig,1,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_chervil_sprig_20260413),Chervil sprig uses fresh parsley herb proxy: 10 sprigs = 10g.
white sugar,cup,200,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_white_sugar_cup_20260413),SR28 granulated sugar cup is 200g.
honeydew,cup,170,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_honeydew_cup_20260413),SR28 honeydew diced cup is 170g.
turmeric,tsp,3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_turmeric_tsp_20260413),SR28 ground turmeric teaspoon is 3g.
turmeric,tbsp,9.4,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_turmeric_tbsp_20260413),SR28 ground turmeric tablespoon is 9.4g.
tangerine,count,88,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_tangerine_count_20260413),SR28 medium tangerine is 88g.
sunflower seed,tbsp,8.75,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_sunflower_seed_tbsp_20260413),Derived from SR28 dried sunflower seed kernels cup 140g.
sunflower seed,cup,140,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_sunflower_seed_cup_20260413),SR28 dried sunflower seed kernels cup is 140g.
wheat flour,cup,120,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_wheat_flour_cup_20260413),SR28 whole-grain wheat flour cup is 120g.
flaxseed,tbsp,10.3,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_flaxseed_tbsp_20260413),SR28 whole flaxseed tablespoon is 10.3g.
flaxseed,cup,168,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_flaxseed_cup_20260413),SR28 whole flaxseed cup is 168g.
sesame seed,tbsp,9,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_sesame_seed_tbsp_20260413),SR28 whole sesame seed tablespoon is 9g.
sesame seed,cup,144,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_sesame_seed_cup_20260413),SR28 whole sesame seed cup is 144g.
meyer lemon juice,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_meyer_lemon_juice_tbsp_20260413),Same-family lemon/lime juice tablespoon default.
spicy mustard,tbsp,15,,,,migrated from implementation/reviewed_household_unit_gram_rules.csv (codex_sr28_spicy_mustard_tbsp_20260413),Prepared mustard tablespoon derived from SR28 teaspoon/packet 5g.
