gtin_upc,fdc_id,product_description,retail_type,supercategory,category_group,category,primary_food,form,cut,prep_state,storage,flavor,flavor_blend,inclusions,claims,dish_type,pack_format,components,retail_leaf,confidence,needs_review,debug_matches
77890534656,2479423,"VANILLA UNSWEETENED FLAVORED ALMONDMILK, VANILLA UNSWEETENED",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""flavored"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
7789054481,2449959,"VANILLA UNSWEETENED ALMONDMILK, VANILLA UNSWEETENED",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
78742052342,2656608,"VANILLA UNSWEETENED ALMONDMILK, VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
79893401393,2463276,"UNSWEETENED VANILLA ALMOND ORGANIC NON-DAIRY BEVERAGE, UNSWEETENED VANILLA",single,Beverage,Beverages,Beverage,almond,beverage,,,,,"[""vanilla"",""almond""]",[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Beverages > Beverage > Vanilla-Almond,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond""],""DIET"":[""organic"",""dairy""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""non"",""beverage""],""SWEETENER"":[""unsweetened""]}"
79893401614,2399323,"VANILLA UNSWEETENED ORGANIC PLANT-BASED NON-DAIRY ALMOND BEVERAGE, VANILLA UNSWEETENED",single,Beverage,Beverages,Beverage,almond,beverage,,,,,"[""vanilla"",""almond""]",[],"{""diet"":[""organic"",""plant based""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Beverages > Beverage > Vanilla-Almond,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond""],""DIET"":[""organic"",""plant based"",""plant"",""dairy""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""based"",""non"",""beverage""],""SWEETENER"":[""unsweetened""]}"
84253268349,1537204,"ALMOND DREAM, VANILLA UNSWEETENED ALMOND DRINK, VANILLA",single,Beverage,Beverages,Drink,almond,drink,,,,,"[""almond"",""vanilla""]",[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Beverages > Drink > Almond-Vanilla,1.0,[],"{""CATEGORY"":[""almond"",""almond""],""FLAVOR_UNIVERSAL"":[""almond"",""vanilla"",""almond""],""FORM"":[""drink""],""STOPWORD"":[""drink""],""SWEETENER"":[""unsweetened""]}"
85239027059,2624617,"VANILLA UNSWEETENED NON-DAIRY BEVERAGE ALMONDMILK, VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""dairy""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""beverage"",""milk""],""STOPWORD"":[""non"",""beverage""],""SWEETENER"":[""unsweetened""]}"
85239042939,2624785,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
85239070321,2625064,"UNSWEETENED VANILLA ALMONDMILK NON-DAIRY BEVERAGE, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""dairy""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk"",""beverage""],""STOPWORD"":[""non"",""beverage""],""SWEETENER"":[""unsweetened""]}"
85239360064,2625798,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
85239601259,2636106,"VANILLA UNSWEETENED ALMONDMILK, VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.55395E+11,2636301,"ORGANIC VANILLA BEAN UNSWEETENED ALMONDMILK, VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""bean"",""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
96619533008,2134434,"VANILLA UNSWEETENED ALMOND NON-DAIRY BEVERAGE, VANILLA, UNSWEETENED",single,Beverage,Beverages,Beverage,almond,beverage,,,,,"[""vanilla"",""almond""]",[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Beverages > Beverage > Vanilla-Almond,1.0,[],"{""CATEGORY"":[""almond""],""DIET"":[""dairy""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""non"",""beverage""],""SWEETENER"":[""unsweetened""]}"
99482440824,2460529,"VANILLA UNSWEETENED ALMONDMILK BEVERAGE, VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk"",""beverage""],""STOPWORD"":[""beverage""],""SWEETENER"":[""unsweetened""]}"
99482443498,2287469,"ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
99482467043,2460551,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
99482493776,2465959,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
99482494094,2465333,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
1.93968E+11,2473691,"UNSWEETENED VANILLA ALMOND, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond,almond,,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond > Vanilla,0.6,"[""missing_form""]","{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond""],""SWEETENER"":[""unsweetened""]}"
60788003637,2241003,"ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
6.0788E+11,2485083,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
6.46671E+11,2553709,"UNSWEETENED VANILLA ORGANIC ALMOND-MILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
6.88267E+11,1909943,"ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
6.88267E+11,2288777,"ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
6.88268E+11,2469601,"UNSWEETENED VANILLA ALMOND MILK NON-DAIRY BEVERAGE, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""dairy""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk"",""beverage""],""STOPWORD"":[""non"",""beverage""],""SWEETENER"":[""unsweetened""]}"
6.88268E+11,2481704,"PLANT BASED VANILLA UNSWEETENED ALMOND MILK, PLANT BASED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""plant based""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""DIET"":[""plant based"",""plant""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""based""],""SWEETENER"":[""unsweetened""]}"
7.11536E+11,1891485,"ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
7.11536E+11,2435509,"UNSWEETENED ALMONDMILK, VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
7.17544E+11,2243801,"VANILLA UNSWEETENED ALMOND BEVERAGE, VANILLA",single,Beverage,Beverages,Beverage,almond,beverage,,,,,"[""vanilla"",""almond""]",[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Beverages > Beverage > Vanilla-Almond,1.0,[],"{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""beverage""],""SWEETENER"":[""unsweetened""]}"
8.13636E+11,2509377,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.15369E+11,2472075,"ORGANIC UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.5177E+11,2084604,ORGANIC PROTEIN ALMONDMILK UNSWEETENED VANILLA,single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic"",""protein""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""protein"",""almond"",""milk""],""DIET"":[""organic"",""protein""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.5177E+11,2628522,"UNSWEETENED VANILLA ORGANIC ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.52909E+11,2510752,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.55395E+11,2384275,"VANILLA BEAN FLAVORED UNSWEETENED ORGANIC PLANT-BASED ALMONDMILK, VANILLA BEAN",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic"",""plant based""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""bean"",""almond"",""milk""],""DIET"":[""organic"",""plant based"",""plant""],""FLAVOR_UNIVERSAL"":[""vanilla"",""flavored"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""based""],""SWEETENER"":[""unsweetened""]}"
8.59918E+11,2053205,"ORGANIC TRUE ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""vanilla""],""FORM"":[""milk""],""STOPWORD"":[""true""],""SWEETENER"":[""unsweetened""]}"
8.59918E+11,2399952,"UNSWEETENED VANILLA BEAN ORGANIC ALMONDMILK, UNSWEETENED VANILLA BEAN",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""bean"",""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.60001E+11,2389512,"UNSWEETENED VANILLA ORGANIC ALMOND MALK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond,almond,,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond > Vanilla,0.6,"[""missing_form""]","{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond""],""SWEETENER"":[""unsweetened""]}"
8.61029E+11,2669607,"PURE ALMOND MALK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond,almond,,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond > Vanilla,0.6,"[""missing_form""]","{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""almond"",""vanilla""],""STOPWORD"":[""pure""],""SWEETENER"":[""unsweetened""]}"
8.86926E+11,2641015,"UNSWEETENED VANILLA ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
8.8867E+11,2629215,"UNSWEETENED VANILLA ORGANIC ALMONDMILK, UNSWEETENED VANILLA",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,vanilla,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Vanilla Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""vanilla"",""almond"",""milk""],""FORM"":[""milk""],""SWEETENER"":[""unsweetened""]}"
25293001190,2744540,Silk Pure Almond Dark Chocolate 64oz,single,Beverage,Plant-based Milk,Almond,almond,chocolate,,,,dark,[],[],{},,,[],Beverage > Plant-based Milk > Almond > Chocolate > Dark,1.0,[],"{""BRAND_NOISE"":[""silk""],""CATEGORY"":[""almond"",""chocolate""],""COLOR"":[""dark""],""FLAVOR_UNIVERSAL"":[""almond"",""dark"",""chocolate""],""FORM"":[""chocolate""],""STOPWORD"":[""pure"",""oz""]}"
25293001275,2746465,Silk Dark Chocolate Almondmilk 8 fl. oz. Aseptic Pack,combo_pack,Snack,Combo Packs,Pack,almond,milk,,,aseptic,dark,[],[],{},,pack,"[""chocolate milk"",""almond milk""]",Snack > Combo Packs > Pack > Chocolate Milk + Almond Milk,1.0,[],"{""BRAND_NOISE"":[""silk""],""CATEGORY"":[""chocolate"",""almond"",""milk""],""COLOR"":[""dark""],""COMBO_FORMAT"":[""pack""],""FLAVOR_UNIVERSAL"":[""dark"",""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""STOPWORD"":[""fl"",""oz"",""pack""],""STORAGE"":[""aseptic""]}"
25293002722,2744535,Silk Dark Chocolate Almondmilk 6-8 fl. oz. Aseptic Packs 3 count,combo_pack,Snack,Combo Packs,Packs,almond,milk,,,aseptic,dark,[],[],{},,packs,"[""chocolate milk"",""almond milk""]",Snack > Combo Packs > Packs > Chocolate Milk + Almond Milk,1.0,[],"{""BRAND_NOISE"":[""silk""],""CATEGORY"":[""chocolate"",""almond"",""milk""],""COLOR"":[""dark""],""COMBO_FORMAT"":[""packs""],""FLAVOR_UNIVERSAL"":[""dark"",""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""STOPWORD"":[""fl"",""oz"",""packs"",""count""],""STORAGE"":[""aseptic""]}"
25293004320,2744581,Silk Almond Dark Chocolate 10oz Bottle,single,Beverage,Plant-based Milk,Almond,almond,chocolate,,,,dark,[],[],{},,,[],Beverage > Plant-based Milk > Almond > Chocolate > Dark,1.0,[],"{""BRAND_NOISE"":[""silk""],""CATEGORY"":[""almond"",""chocolate""],""COLOR"":[""dark""],""FLAVOR_UNIVERSAL"":[""almond"",""dark"",""chocolate""],""FORM"":[""chocolate""],""STOPWORD"":[""oz"",""bottle""]}"
11110100030,2482695,"SWEETENED CHOCOLATE ALMONDMILK, SWEETENED CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],"{""sweetener"":[""sweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""SWEETENER"":[""sweetened""]}"
11110845962,1939400,"CHOCOLATE ALMONDMILK, CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""]}"
18944000093,2137167,"CHOCOLATE MILKED PEANUTS, CHOCOLATE",single,Snack,Chocolate,Chocolate,chocolate,chocolate,,,,,[],[],{},,,[],Snack > Chocolate > Chocolate,1.0,[],"{""CATEGORY"":[""chocolate"",""peanuts""],""FLAVOR_UNIVERSAL"":[""chocolate""],""FORM"":[""chocolate""]}"
21130081011,2485220,"CHOCOLATE FLAVORED PLANT BASED NON-DAIRY ALMOND BEVERAGE, CHOCOLATE",single,Beverage,Beverages,Beverage,almond,beverage,,,,,"[""chocolate"",""almond""]",[],"{""diet"":[""plant based""]}",,,[],Beverage > Beverages > Beverage > Chocolate-Almond,1.0,[],"{""CATEGORY"":[""chocolate"",""almond""],""DIET"":[""plant based"",""plant"",""dairy""],""FLAVOR_UNIVERSAL"":[""chocolate"",""flavored"",""almond""],""FORM"":[""chocolate"",""beverage""],""STOPWORD"":[""based"",""non"",""beverage""]}"
25293001190,2617998,"ALMONDMILK, DARK CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,dark,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Dark,1.0,[],"{""CATEGORY"":[""almond"",""milk"",""chocolate""],""COLOR"":[""dark""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""dark"",""chocolate""],""FORM"":[""milk"",""chocolate""]}"
25293001275,2658109,"SILK, ALMONDMILK, DARK CHOCOLATE, DARK CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,dark,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Dark,1.0,[],"{""BRAND_NOISE"":[""silk""],""CATEGORY"":[""almond"",""milk"",""chocolate""],""COLOR"":[""dark""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""dark"",""chocolate""],""FORM"":[""milk"",""chocolate""]}"
25293002111,2466735,"DARK CHOCOLATE ALMONDMILK, DARK CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,dark,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Dark,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""COLOR"":[""dark""],""FLAVOR_UNIVERSAL"":[""dark"",""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""]}"
25293002722,2466717,"DARK CHOCOLATE ALMONDMILK, DARK CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,dark,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Dark,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""COLOR"":[""dark""],""FLAVOR_UNIVERSAL"":[""dark"",""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""]}"
