csv_line,recipe_id,recipe_name,concept_key,priced_concept_key,resolution_tier,picked_sku,issue_type,severity,message,expected
1394,368579,Roasted Vegetable Black Bean Soup,Pantry > Spices & Seasonings > Oregano|E304400U,Pantry > Spices & Seasonings > Oregano|E304400U,form_only,"Soeos Whole Bay Leaves, Dried for Soups, Stews, Braising & S",wrong_class,blocker,Oregano concept selected a different herb/spice.,oregano
1410,403120,Avocado and Spicy Potato Pancakes with Scrambled E,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1416,403120,Avocado and Spicy Potato Pancakes with Scrambled E,Produce > Fruit > Limes|7235000=,Produce > Fruit > Limes|7235000=,path_only,"Ocean Spray® Citrus Splash – Grapefruit, Lemon and Lime 50.7",wrong_class,blocker,Fresh lime concept selected beverage/juice product.,fresh limes
1444,489266,Black Bean and Pepperjack Burgers,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1452,42721,Crock Pot Black Bean Soup (Low Fat),Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
1462,61707,Drake Hogestyn's Salad Pizza,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1471,31390,Tomato and Mozzarella Crepes,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
1474,31390,Tomato and Mozzarella Crepes,Pantry > Spices & Seasonings > Oregano|E304400U,Pantry > Spices & Seasonings > Oregano|E304400U,form_only,"Soeos Whole Bay Leaves, Dried for Soups, Stews, Braising & S",wrong_class,blocker,Oregano concept selected a different herb/spice.,oregano
1495,279090,Sausage & Mushroom Sandwiches with Caramelized Oni,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
1505,259492,Ravioli Soup with Spinach and Tomatoes,Dairy > Cream > Creme Fraiche|116B0001,Dairy > Cream > Creme Fraiche|116B0001,parent_path_only,"McCormick Strawberries & Cream Finishing Sugar, 3.16 oz Bott",wrong_class,blocker,Cream concept selected sugar/decorator product.,cream or creme fraiche
1516,410190,Carrot-Raisin Peanut Butter Sandwiches,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1565,205200,Creamy Black Bean Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1568,205200,Creamy Black Bean Soup,Pantry > Spices & Seasonings > Oregano|E304400U,Pantry > Spices & Seasonings > Oregano|E304400U,form_only,"Soeos Whole Bay Leaves, Dried for Soups, Stews, Braising & S",wrong_class,blocker,Oregano concept selected a different herb/spice.,oregano
1581,490112,"Tomato, Basil and Cheddar Soup",Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1583,490112,"Tomato, Basil and Cheddar Soup",Pantry > Spices & Seasonings > Oregano|E304000A,Pantry > Spices & Seasonings > Oregano|E304000A,form_only,Simple Truth Organic® Whole Bay Leaves,wrong_class,blocker,Oregano concept selected a different herb/spice.,oregano
1587,48653,Potato Carrot Kugel,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1596,201620,Cheesy Beanburgers,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1600,201620,Cheesy Beanburgers,Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
1623,477722,Elsie's Spinach (or 'Burning Weed') Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1653,180951,Easy Eggless Pancakes (Vegan Option),Pantry > Oil > Vegetable Oil|B00W600V,Pantry > Oil > Vegetable Oil|B00W600V,exact,Blue Bonnet Vegetable Oil Sticks,wrong_class,blocker,Liquid vegetable oil concept selected margarine/spread sticks.,bottled liquid vegetable oil
1698,156443,Avocado and Lime Soup,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1702,156443,Avocado and Lime Soup,Produce > Fruit > Limes|7235000=,Produce > Fruit > Limes|7235000=,path_only,"Ocean Spray® Citrus Splash – Grapefruit, Lemon and Lime 50.7",wrong_class,blocker,Fresh lime concept selected beverage/juice product.,fresh limes
1726,320210,Bean and Cheese Quesadillas,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1740,461578,Chili Spaghetti With Hot Dogs,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1760,462164,Breakfast Tacos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1767,203297,Cheesy Crab Burritos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1782,262143,Creamy Garlic Spinach Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1791,178971,Black Bean and Avocado Tacos,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1808,62490,Bananas Foster Raspberry French Toast,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
1851,99028,"Banana Pancakes, Wayan's Recipe",Frozen > Ice Cream|1510600=,Frozen > Ice Cream|1510600=,exact,"Great Value Jumbo Ice Cream Cups, 2.75 oz, 12 Count",wrong_class,blocker,Frozen ice cream concept selected dry ice-cream cups/cones.,actual frozen ice cream
1853,471649,Andrea Spadoni's Deluxe Grilled Cheese,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1864,161183,Taco Avocado Wraps,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1882,71469,Benihana-Style Fried Rice,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1904,208049,Pinto Bean Tacos,Pantry > Spices & Seasonings > Oregano|E304400U,Pantry > Spices & Seasonings > Oregano|E304400U,form_only,"Soeos Whole Bay Leaves, Dried for Soups, Stews, Braising & S",wrong_class,blocker,Oregano concept selected a different herb/spice.,oregano
1907,208049,Pinto Bean Tacos,Produce > Vegetables > Avocado|6018000R,Produce > Vegetables > Avocado|6018000R,form_only,"Alafia Grape Leaves, 16 oz",wrong_class,blocker,Avocado concept selected non-avocado product.,fresh or prepared avocado
1910,208049,Pinto Bean Tacos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1914,362144,Best Pancakes You Will Ever Make!,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
1931,445002,Low Carb Chicken & Black Bean Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1944,106729,Banana Bomb Bread,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
1953,184956,Ultimate Low Fat Chicken Quesadillas,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
1954,356873,WW 2 Pt. Pasta and Cauliflower Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
1962,191166,Butterscotch Pancakes,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
1963,191166,Butterscotch Pancakes,Dairy > Cream|130D6002,Dairy > Cream|130D6002,path_only,"McCormick Strawberries & Cream Finishing Sugar, 3.16 oz Bott",wrong_class,blocker,Cream concept selected sugar/decorator product.,cream or creme fraiche
